fullName,firstName,middleName,lastName,jobTitle,account,countyAccountAccount,rsvpGa2018,proxyDesigneeGa2018:,ga2018AsADesigneeFor,nopecGeneralAssemblyMember,accountTypeAccountAccount,gaDelegateAccountAccount,checkInTime,badge
Amy Cossick,Amy,,Cossick,Village Administrator,Fairport Harbor,Lake,None Received,,,0,Member Community,Amy Cossick,,23
"Anthony L. Zumbo, P.E., P.S.",Anthony L.,,"Zumbo, P.E., P.S.",Service Director,Cuyahoga Falls,Summit,Attending,,Don Walters,0,Member Community,Don Walters,,
Bill Goncy,Bill,,Goncy,Mayor,Boston Heights Village,Summit,Attending,Betty Klingenberg,,1,Member Community,Bill Goncy,,
Bobbie Beshara,Bobbie,,Beshara,Mayor,Richfield,Summit,Attending,,,1,Member Community,Bobbie Beshara,,
Bradley Sellers,Bradley,D.,Sellers,Mayor,Warrensville Heights,Cuyahoga,Attending,,,1,Member Community,Bradley Sellers,,
Bryan Hoffman,Bryan,,Hoffman,Finance Director,Cuyahoga Falls,Summit,Attending,,,0,Member Community,Don Walters,,
Christie Homer-Miller,Christie,,Homer-Miller,,,,Attending,David Gillock,David Gillock,0,,,,
Dan Kibler,Dan,,Kibler,Mayor,Hanoverton Village,Columbiana,Not Attending,John Zehentbauer,,1,Member Community,John Zehentbauer,,
David Smith,David,,Smith,Mayor,North Randall,Cuyahoga,Attending,Georgine Welo,,1,Member Community,David Smith,,
Debbie Bluso-Rogers,Debbie,,Bluso-Rogers,Executive Assistant to the Mayor/HR Coordinator,Richfield,Summit,Attending,,,0,Member Community,Bobbie Beshara,,
Donna Vozar,Donna,,Vozar,Assistant Law Director,North Royalton,Cuyahoga,Attending,,Robert Stefanik,1,Member Community,Robert Stefanik,,
Douglas Davidson,Douglas,E,Davidson,Mayor,Kirtland,Lake,Not Attending,Daniel Troy,,1,Member Community,Douglas Davidson,,
Edward H. Kraus,Edward H.,H.,Kraus,Mayor,Solon,Cuyahoga,Attending,,,0,Member Community,Edward H. Kraus,,
Eileen Patton,Eileen,A.,Patton,Mayor,Fairview Park,Cuyahoga,Not Attending,Georgine Welo,Georgine Welo,1,Member Community,Bridget Hinkel,,
James Timonere,James,,Timonere,City Manager,Ashtabula,Ashtabula,Not Attending,Ron McVoy,,1,Member Community,Ron McVoy,,
Jeffrey Smock,Jeffrey,,Smock,Mayor,Chardon,Geauga,Attending,,,0,Member Community,Randy Sharpe,,
John Zaccardelli,John,R,Zaccardelli,Trustee,Sagamore Hills Township,Summit,Attending,,,1,Member Community,John Zaccardelli,,
Judy Goslin,Judy,,Goslin,Assistant to the Mayor,Highland Hills,Cuyahoga,Attending,,,1,Member Community,Judy Goslin,,
"Karen Howse, MBA",Karen,,"Howse, MBA",Finance Director,Warrensville Heights,Cuyahoga,Attending,,,0,Member Community,Bradley Sellers,,
Mike Procuk,Mike,,Procuk,Mayor,Brooklyn Heights,Cuyahoga,Attending,Georgine Welo,Georgine Welo,1,Member Community,Mike Procuk,,
Pat Salemi,Pat,,Salemi,Community/Public Relations Coordinator,Garfield Heights,Cuyahoga,Attending,Georgine Welo,,0,Member Community,Pat Salemi,,
Peg Sikon,Peg,,Sikon,Clerk of Council,Highland Hills,Cuyahoga,Attending,,,0,Member Community,Judy Goslin,,
Peggy Spraggins,Peggy,,Spraggins,Housing & Tax Incentive Director,Glenwillow,Cuyahoga,Attending,,Mark A. Cegelka,1,Member Community,Peggy Spraggins,,
Randal C. Peterson,Randal C.,,Peterson,Trustee,Montville Township,Geauga,Not Attending,Dr. William Koons,,0,Member Community,Jim Marsic,,
Randy Sharpe,Randy,B,Sharpe,City Manager,Chardon,Geauga,Attending,Dr. William Koons,,1,Member Community,Randy Sharpe,,
Richard Bain,Richard,,Bain,Mayor,Pepper Pike,Cuyahoga,Attending,,,1,Member Community,Richard Bain,,
Robert Stefanik,Robert,,Stefanik,Mayor,North Royalton,Cuyahoga,Not Attending,Donna Vozar,,1,Member Community,Robert Stefanik,,
Samuel Alai,Samuel,M,Alai,Mayor,Broadview Heights,Cuyahoga,Not Attending,Georgine Welo,Georgine Welo,1,Member Community,,,
Teresa Hazlett,Teresa,,Hazlett,Deputy Service Director,Cuyahoga Falls,Summit,Attending,,,0,Member Community,Don Walters,,
